date,Iraq,Egypt,Libya,Jordan,Bahrain,Syria,Saudi Arabia
2013-08-25,78.0,129.0,5.0,0.0,2.0,100.0,0.0
2013-09-01,101.0,31.0,6.0,0.0,0.0,61.0,1.0
2013-09-08,66.0,59.0,13.0,0.0,1.0,44.0,1.0
2013-09-15,68.0,25.0,10.0,2.0,1.0,50.0,2.0
2013-09-22,66.0,39.0,7.0,0.0,4.0,83.0,0.0
2013-09-29,190.0,25.0,11.0,0.0,3.0,87.0,1.0
2013-10-06,126.0,62.0,72.0,2.0,4.0,40.0,0.0
2013-10-13,88.0,133.0,107.0,1.0,6.0,91.0,2.0
2013-10-20,83.0,21.0,30.0,0.0,4.0,148.0,0.0
2013-10-27,168.0,34.0,19.0,0.0,7.0,58.0,0.0
2013-11-03,34.0,40.0,12.0,0.0,1.0,40.0,0.0
2013-11-10,48.0,31.0,17.0,3.0,0.0,41.0,1.0
2013-11-17,76.0,24.0,58.0,0.0,5.0,45.0,11.0
2013-11-24,66.0,52.0,48.0,2.0,2.0,42.0,0.0
2013-12-01,102.0,39.0,67.0,0.0,2.0,51.0,3.0
2013-12-08,74.0,16.0,19.0,1.0,0.0,84.0,3.0
2013-12-15,55.0,35.0,24.0,0.0,2.0,103.0,2.0
2013-12-22,228.0,36.0,33.0,1.0,2.0,61.0,1.0
2013-12-29,111.0,57.0,13.0,0.0,0.0,51.0,0.0
2014-01-05,160.0,58.0,11.0,1.0,1.0,75.0,1.0
2014-01-12,211.0,45.0,30.0,1.0,2.0,175.0,1.0
2014-01-19,113.0,51.0,41.0,0.0,0.0,62.0,5.0
2014-01-26,84.0,56.0,83.0,0.0,0.0,38.0,0.0
2014-02-02,99.0,45.0,34.0,0.0,0.0,39.0,0.0
2014-02-09,73.0,21.0,17.0,0.0,1.0,77.0,0.0
2014-02-16,56.0,26.0,8.0,1.0,1.0,59.0,1.0
2014-02-23,49.0,22.0,15.0,2.0,4.0,35.0,1.0
2014-03-02,37.0,12.0,18.0,2.0,3.0,65.0,9.0
2014-03-09,86.0,18.0,21.0,0.0,10.0,35.0,4.0
2014-03-16,56.0,56.0,14.0,10.0,1.0,71.0,0.0
2014-03-23,38.0,38.0,15.0,2.0,2.0,26.0,0.0
2014-03-30,40.0,53.0,28.0,0.0,7.0,47.0,1.0
2014-04-06,47.0,19.0,5.0,0.0,0.0,66.0,9.0
2014-04-13,63.0,14.0,10.0,2.0,1.0,47.0,1.0
2014-04-20,62.0,38.0,49.0,6.0,0.0,42.0,1.0
2014-04-27,90.0,17.0,11.0,8.0,2.0,19.0,4.0
2014-05-04,67.0,56.0,56.0,1.0,1.0,30.0,0.0
2014-05-11,77.0,18.0,24.0,4.0,1.0,56.0,0.0
2014-05-18,66.0,9.0,39.0,1.0,0.0,26.0,0.0
2014-05-25,20.0,39.0,67.0,4.0,0.0,41.0,1.0
2014-06-01,65.0,15.0,23.0,0.0,0.0,45.0,2.0
2014-06-08,215.0,10.0,66.0,3.0,1.0,31.0,0.0
2014-06-15,303.0,29.0,18.0,0.0,0.0,14.0,2.0
2014-06-22,303.0,21.0,10.0,2.0,0.0,18.0,0.0
2014-06-29,103.0,6.0,34.0,4.0,0.0,21.0,2.0
2014-07-06,74.0,16.0,24.0,0.0,2.0,16.0,2.0
2014-07-13,93.0,8.0,9.0,2.0,0.0,13.0,3.0
2014-07-20,93.0,25.0,43.0,0.0,2.0,22.0,0.0
2014-07-27,109.0,38.0,64.0,0.0,0.0,57.0,0.0
2014-08-03,74.0,5.0,81.0,0.0,0.0,29.0,0.0
2014-08-10,134.0,25.0,9.0,2.0,0.0,29.0,3.0
2014-08-17,116.0,15.0,23.0,1.0,0.0,29.0,4.0
2014-08-24,123.0,17.0,24.0,0.0,0.0,58.0,4.0
2014-08-31,143.0,9.0,13.0,1.0,2.0,94.0,1.0
2014-09-07,85.0,12.0,17.0,3.0,4.0,82.0,2.0
2014-09-14,101.0,16.0,9.0,0.0,2.0,56.0,1.0
2014-09-21,62.0,24.0,24.0,6.0,0.0,44.0,8.0
2014-09-28,66.0,5.0,20.0,0.0,0.0,64.0,1.0
2014-10-05,56.0,4.0,37.0,0.0,0.0,64.0,0.0
2014-10-12,87.0,11.0,33.0,3.0,0.0,53.0,0.0
2014-10-19,75.0,16.0,43.0,2.0,1.0,44.0,9.0
2014-10-26,62.0,37.0,36.0,0.0,0.0,30.0,4.0
2014-11-02,88.0,17.0,30.0,0.0,1.0,65.0,3.0
2014-11-09,53.0,25.0,17.0,3.0,0.0,24.0,19.0
2014-11-16,46.0,32.0,25.0,3.0,0.0,41.0,7.0
2014-11-23,79.0,11.0,4.0,1.0,0.0,56.0,4.0
2014-11-30,46.0,28.0,8.0,3.0,0.0,30.0,1.0
2014-12-07,29.0,26.0,8.0,3.0,0.0,35.0,3.0
2014-12-14,69.0,10.0,16.0,2.0,1.0,47.0,12.0
2014-12-21,43.0,3.0,13.0,2.0,0.0,33.0,7.0
2014-12-28,96.0,13.0,74.0,2.0,0.0,31.0,7.0
2015-01-04,74.0,15.0,51.0,0.0,2.0,51.0,3.0
2015-01-11,73.0,16.0,31.0,0.0,4.0,36.0,6.0
2015-01-18,59.0,14.0,12.0,0.0,4.0,43.0,4.0
2015-01-25,48.0,23.0,12.0,2.0,0.0,54.0,7.0
2015-02-01,117.0,97.0,81.0,26.0,0.0,40.0,3.0
2015-02-08,73.0,22.0,38.0,25.0,5.0,50.0,7.0
2015-02-15,79.0,47.0,15.0,2.0,0.0,33.0,1.0
2015-02-22,46.0,58.0,49.0,4.0,0.0,73.0,3.0
2015-03-01,82.0,38.0,9.0,5.0,3.0,130.0,3.0
2015-03-08,143.0,20.0,36.0,2.0,1.0,108.0,12.0
2015-03-15,126.0,38.0,18.0,1.0,15.0,56.0,1.0
2015-03-22,56.0,13.0,50.0,0.0,0.0,45.0,2.0
