date,Iraq,Egypt,Libya,Jordan,Bahrain,Syria,Saudi Arabia
2012-01-01,0.0,0.0,6.0,0.0,5.0,1.0,0.0
2012-01-08,37.0,8.0,23.0,2.0,20.0,63.0,6.0
2012-01-15,89.0,8.0,0.0,1.0,5.0,39.0,7.0
2012-01-22,47.0,4.0,8.0,1.0,3.0,32.0,0.0
2012-01-29,47.0,25.0,34.0,8.0,6.0,37.0,3.0
2012-02-05,10.0,54.0,16.0,1.0,3.0,68.0,3.0
2012-02-12,10.0,52.0,7.0,2.0,0.0,73.0,0.0
2012-02-19,34.0,7.0,9.0,0.0,8.0,41.0,1.0
2012-02-26,46.0,28.0,7.0,10.0,1.0,46.0,2.0
2012-03-04,11.0,12.0,4.0,1.0,1.0,66.0,1.0
2012-03-11,62.0,15.0,2.0,3.0,1.0,49.0,2.0
2012-03-18,36.0,25.0,2.0,0.0,1.0,55.0,2.0
2012-03-25,36.0,12.0,9.0,1.0,4.0,72.0,1.0
2012-04-01,2.0,3.0,20.0,3.0,4.0,50.0,0.0
2012-04-08,1.0,4.0,8.0,2.0,3.0,57.0,7.0
2012-04-15,25.0,8.0,7.0,0.0,10.0,48.0,2.0
2012-04-22,22.0,2.0,7.0,2.0,6.0,35.0,3.0
2012-04-29,8.0,8.0,3.0,1.0,5.0,57.0,4.0
2012-05-06,7.0,92.0,3.0,4.0,3.0,65.0,2.0
2012-05-13,22.0,9.0,18.0,1.0,3.0,68.0,2.0
2012-05-20,13.0,6.0,50.0,0.0,7.0,94.0,0.0
2012-05-27,17.0,12.0,4.0,0.0,3.0,111.0,2.0
2012-06-03,9.0,36.0,4.0,1.0,2.0,86.0,2.0
2012-06-10,31.0,20.0,14.0,1.0,1.0,121.0,5.0
2012-06-17,28.0,9.0,35.0,10.0,2.0,102.0,0.0
2012-06-24,25.0,9.0,11.0,0.0,1.0,83.0,2.0
2012-07-01,40.0,7.0,12.0,1.0,0.0,78.0,2.0
2012-07-08,26.0,7.0,12.0,5.0,1.0,39.0,4.0
2012-07-15,16.0,12.0,2.0,1.0,2.0,82.0,1.0
2012-07-22,12.0,12.0,3.0,1.0,2.0,182.0,0.0
2012-07-29,36.0,7.0,3.0,3.0,2.0,149.0,2.0
2012-08-05,77.0,24.0,17.0,5.0,13.0,219.0,2.0
2012-08-12,42.0,79.0,16.0,3.0,1.0,158.0,1.0
2012-08-19,59.0,27.0,4.0,2.0,7.0,107.0,3.0
2012-08-26,20.0,23.0,15.0,1.0,9.0,69.0,0.0
2012-09-02,30.0,13.0,3.0,1.0,1.0,91.0,0.0
2012-09-09,49.0,9.0,5.0,3.0,2.0,65.0,0.0
2012-09-16,29.0,48.0,135.0,1.0,4.0,64.0,3.0
2012-09-23,32.0,11.0,36.0,2.0,3.0,51.0,5.0
2012-09-30,138.0,8.0,22.0,3.0,4.0,119.0,1.0
2012-10-07,31.0,4.0,9.0,1.0,3.0,77.0,2.0
2012-10-14,18.0,27.0,10.0,1.0,2.0,63.0,0.0
2012-10-21,28.0,8.0,34.0,0.0,2.0,95.0,5.0
2012-10-28,11.0,5.0,24.0,3.0,5.0,98.0,0.0
2012-11-04,22.0,25.0,8.0,1.0,0.0,157.0,1.0
2012-11-11,15.0,19.0,9.0,0.0,8.0,94.0,6.0
2012-11-18,7.0,9.0,8.0,11.0,3.0,47.0,4.0
2012-11-25,2.0,34.0,4.0,5.0,2.0,51.0,0.0
2012-12-02,35.0,17.0,3.0,3.0,5.0,67.0,4.0
2012-12-09,10.0,36.0,7.0,4.0,1.0,45.0,0.0
2012-12-16,34.0,19.0,9.0,1.0,0.0,55.0,2.0
2012-12-23,19.0,13.0,15.0,0.0,1.0,55.0,0.0
2012-12-30,6.0,7.0,8.0,0.0,2.0,51.0,2.0
2013-01-06,17.0,10.0,13.0,1.0,3.0,56.0,0.0
2013-01-13,9.0,17.0,5.0,0.0,0.0,44.0,1.0
2013-01-20,59.0,14.0,4.0,0.0,1.0,47.0,1.0
2013-01-27,75.0,48.0,5.0,1.0,5.0,19.0,0.0
2013-02-03,17.0,41.0,2.0,0.0,1.0,35.0,6.0
2013-02-10,67.0,42.0,2.0,0.0,2.0,62.0,1.0
2013-02-17,30.0,30.0,2.0,0.0,10.0,90.0,7.0
2013-02-24,18.0,9.0,2.0,1.0,4.0,55.0,1.0
2013-03-03,24.0,21.0,5.0,0.0,3.0,49.0,1.0
2013-03-10,42.0,47.0,12.0,4.0,9.0,89.0,0.0
2013-03-17,62.0,6.0,8.0,2.0,4.0,45.0,1.0
2013-03-24,18.0,33.0,6.0,1.0,0.0,104.0,2.0
2013-03-31,14.0,45.0,23.0,2.0,4.0,63.0,0.0
2013-04-07,70.0,14.0,14.0,3.0,2.0,48.0,1.0
2013-04-14,7.0,33.0,11.0,3.0,9.0,52.0,3.0
2013-04-21,35.0,23.0,14.0,2.0,8.0,54.0,0.0
2013-04-28,81.0,10.0,19.0,3.0,8.0,110.0,1.0
2013-05-05,23.0,11.0,19.0,4.0,6.0,101.0,0.0
2013-05-12,71.0,17.0,30.0,2.0,1.0,67.0,2.0
2013-05-19,141.0,70.0,13.0,1.0,7.0,50.0,0.0
2013-05-26,72.0,69.0,17.0,5.0,7.0,79.0,1.0
2013-06-02,57.0,8.0,14.0,3.0,8.0,100.0,5.0
2013-06-09,27.0,15.0,20.0,0.0,5.0,78.0,3.0
2013-06-16,18.0,7.0,35.0,2.0,7.0,120.0,1.0
2013-06-23,86.0,16.0,8.0,4.0,2.0,70.0,3.0
2013-06-30,43.0,69.0,18.0,0.0,3.0,37.0,3.0
2013-07-07,54.0,264.0,7.0,0.0,3.0,23.0,0.0
2013-07-14,99.0,203.0,7.0,0.0,1.0,67.0,2.0
2013-07-21,61.0,114.0,6.0,1.0,6.0,79.0,0.0
2013-07-28,160.0,178.0,20.0,1.0,8.0,77.0,0.0
2013-08-04,65.0,67.0,7.0,0.0,1.0,76.0,1.0
2013-08-11,57.0,35.0,10.0,1.0,1.0,112.0,3.0
2013-08-18,81.0,175.0,1.0,2.0,3.0,52.0,0.0
