date,Baghdad,Cairo,Tripoli,Amman,Manama,Damascus,Riyadh
2013-09-22,21.0,25.0,1.0,0.0,1.0,18.0,0.0
2013-09-29,64.0,13.0,8.0,0.0,0.0,18.0,1.0
2013-10-06,57.0,29.0,58.0,0.0,0.0,10.0,0.0
2013-10-13,40.0,41.0,76.0,0.0,4.0,11.0,0.0
2013-10-20,25.0,12.0,11.0,0.0,0.0,37.0,0.0
2013-10-27,34.0,14.0,6.0,0.0,1.0,24.0,0.0
2013-11-03,13.0,11.0,7.0,0.0,1.0,12.0,0.0
2013-11-10,11.0,15.0,13.0,1.0,0.0,18.0,0.0
2013-11-17,48.0,6.0,49.0,0.0,2.0,5.0,5.0
2013-11-24,37.0,25.0,41.0,0.0,0.0,9.0,0.0
2013-12-01,41.0,15.0,9.0,0.0,0.0,20.0,0.0
2013-12-08,28.0,8.0,1.0,0.0,0.0,22.0,0.0
2013-12-15,33.0,10.0,12.0,0.0,0.0,23.0,2.0
2013-12-22,94.0,17.0,9.0,0.0,0.0,15.0,0.0
2013-12-29,22.0,26.0,2.0,0.0,0.0,17.0,0.0
2014-01-05,38.0,15.0,0.0,0.0,0.0,13.0,0.0
2014-01-12,71.0,18.0,8.0,0.0,0.0,16.0,1.0
2014-01-19,29.0,27.0,14.0,0.0,0.0,6.0,5.0
2014-01-26,26.0,37.0,62.0,0.0,0.0,5.0,0.0
2014-02-02,60.0,27.0,14.0,0.0,0.0,4.0,0.0
2014-02-09,46.0,8.0,0.0,0.0,0.0,28.0,0.0
2014-02-16,18.0,8.0,7.0,1.0,1.0,14.0,1.0
2014-02-23,17.0,5.0,4.0,0.0,1.0,7.0,0.0
2014-03-02,7.0,6.0,10.0,2.0,2.0,24.0,2.0
2014-03-09,19.0,11.0,19.0,0.0,7.0,12.0,3.0
2014-03-16,23.0,47.0,6.0,6.0,0.0,17.0,0.0
2014-03-23,7.0,21.0,5.0,1.0,0.0,4.0,0.0
2014-03-30,9.0,17.0,15.0,0.0,2.0,11.0,0.0
2014-04-06,19.0,9.0,3.0,0.0,0.0,26.0,9.0
2014-04-13,23.0,9.0,4.0,1.0,0.0,6.0,1.0
2014-04-20,14.0,19.0,37.0,2.0,0.0,14.0,1.0
2014-04-27,34.0,4.0,5.0,6.0,0.0,3.0,2.0
2014-05-04,32.0,8.0,19.0,1.0,0.0,10.0,0.0
2014-05-11,15.0,8.0,8.0,2.0,0.0,7.0,0.0
2014-05-18,47.0,2.0,7.0,0.0,0.0,4.0,0.0
2014-05-25,10.0,17.0,30.0,3.0,0.0,9.0,0.0
2014-06-01,48.0,7.0,8.0,0.0,0.0,5.0,0.0
2014-06-08,39.0,1.0,11.0,2.0,1.0,9.0,0.0
2014-06-15,44.0,24.0,3.0,0.0,0.0,2.0,0.0
2014-06-22,64.0,11.0,1.0,2.0,0.0,4.0,0.0
2014-06-29,27.0,3.0,2.0,3.0,0.0,3.0,0.0
2014-07-06,17.0,11.0,9.0,0.0,2.0,3.0,0.0
2014-07-13,42.0,5.0,2.0,0.0,0.0,3.0,0.0
2014-07-20,55.0,22.0,19.0,0.0,2.0,5.0,0.0
2014-07-27,42.0,24.0,21.0,0.0,0.0,20.0,0.0
2014-08-03,27.0,3.0,46.0,0.0,0.0,2.0,0.0
2014-08-10,46.0,14.0,5.0,0.0,0.0,6.0,0.0
2014-08-17,41.0,8.0,15.0,0.0,0.0,5.0,2.0
2014-08-24,55.0,8.0,13.0,0.0,0.0,11.0,2.0
2014-08-31,51.0,3.0,6.0,0.0,0.0,4.0,0.0
2014-09-07,33.0,6.0,4.0,0.0,4.0,19.0,0.0
2014-09-14,36.0,6.0,5.0,0.0,2.0,2.0,0.0
2014-09-21,16.0,11.0,0.0,5.0,0.0,5.0,4.0
2014-09-28,33.0,3.0,6.0,0.0,0.0,5.0,1.0
2014-10-05,19.0,1.0,1.0,0.0,0.0,11.0,0.0
