date,Iraq,Egypt,Libya,Jordan,Bahrain,Syria,Saudi Arabia
2013-09-22,1.0,120.0,3.0,1.0,7.0,10.0,2.0
2013-09-29,12.0,76.0,3.0,5.0,19.0,9.0,1.0
2013-10-06,8.0,84.0,16.0,9.0,11.0,10.0,17.0
2013-10-13,31.0,82.0,30.0,5.0,12.0,13.0,5.0
2013-10-20,4.0,50.0,9.0,7.0,4.0,2.0,2.0
2013-10-27,11.0,28.0,7.0,1.0,4.0,5.0,10.0
2013-11-03,2.0,116.0,4.0,13.0,9.0,5.0,20.0
2013-11-10,6.0,68.0,3.0,2.0,7.0,3.0,24.0
2013-11-17,4.0,42.0,6.0,3.0,5.0,5.0,18.0
2013-11-24,6.0,75.0,10.0,7.0,7.0,6.0,17.0
2013-12-01,5.0,180.0,13.0,1.0,1.0,8.0,8.0
2013-12-08,6.0,68.0,8.0,1.0,4.0,12.0,3.0
2013-12-15,14.0,65.0,5.0,6.0,2.0,17.0,6.0
2013-12-22,10.0,102.0,2.0,0.0,1.0,15.0,8.0
2013-12-29,34.0,90.0,15.0,8.0,9.0,4.0,3.0
2014-01-05,36.0,119.0,10.0,4.0,5.0,16.0,4.0
2014-01-12,6.0,104.0,2.0,1.0,2.0,18.0,4.0
2014-01-19,11.0,73.0,4.0,1.0,0.0,3.0,14.0
2014-01-26,19.0,104.0,18.0,1.0,11.0,4.0,0.0
2014-02-02,6.0,67.0,4.0,6.0,6.0,10.0,9.0
2014-02-09,18.0,37.0,2.0,5.0,0.0,5.0,9.0
2014-02-16,4.0,51.0,12.0,3.0,17.0,18.0,4.0
2014-02-23,11.0,38.0,9.0,4.0,19.0,8.0,8.0
2014-03-02,10.0,61.0,8.0,5.0,6.0,12.0,10.0
2014-03-09,12.0,48.0,20.0,5.0,19.0,9.0,21.0
2014-03-16,8.0,68.0,32.0,3.0,2.0,6.0,14.0
2014-03-23,9.0,66.0,16.0,3.0,3.0,10.0,11.0
2014-03-30,3.0,142.0,9.0,2.0,9.0,2.0,0.0
2014-04-06,4.0,55.0,8.0,10.0,6.0,3.0,13.0
2014-04-13,5.0,63.0,21.0,8.0,2.0,4.0,1.0
2014-04-20,3.0,48.0,13.0,5.0,5.0,11.0,18.0
2014-04-27,3.0,65.0,14.0,6.0,16.0,10.0,18.0
2014-05-04,13.0,141.0,5.0,6.0,2.0,11.0,1.0
2014-05-11,17.0,38.0,7.0,2.0,2.0,8.0,18.0
2014-05-18,5.0,40.0,23.0,6.0,1.0,3.0,5.0
2014-05-25,5.0,99.0,18.0,10.0,0.0,3.0,0.0
2014-06-01,5.0,41.0,3.0,9.0,1.0,7.0,6.0
2014-06-08,11.0,58.0,10.0,8.0,6.0,5.0,1.0
2014-06-15,29.0,81.0,1.0,5.0,2.0,3.0,12.0
2014-06-22,20.0,60.0,16.0,5.0,0.0,6.0,0.0
2014-06-29,6.0,113.0,7.0,22.0,1.0,4.0,5.0
