date,Baghdad,Cairo,Tripoli,Amman,Manama,Damascus,Riyadh
2012-01-01,2.0,1.0,0.0,1.0,0.0,0.0,0.0
2012-01-08,3.0,8.0,0.0,7.0,1.0,3.0,5.0
2012-01-15,6.0,9.0,0.0,2.0,3.0,6.0,0.0
2012-01-22,21.0,5.0,1.0,6.0,2.0,3.0,0.0
2012-01-29,8.0,11.0,2.0,10.0,2.0,2.0,0.0
2012-02-05,7.0,57.0,2.0,6.0,3.0,9.0,1.0
2012-02-12,7.0,20.0,1.0,10.0,6.0,7.0,4.0
2012-02-19,3.0,8.0,2.0,5.0,26.0,11.0,2.0
2012-02-26,8.0,3.0,5.0,6.0,1.0,7.0,1.0
2012-03-04,7.0,32.0,0.0,2.0,1.0,6.0,1.0
2012-03-11,8.0,7.0,0.0,2.0,5.0,11.0,0.0
2012-03-18,3.0,13.0,21.0,7.0,1.0,8.0,3.0
2012-03-25,4.0,6.0,5.0,2.0,2.0,7.0,0.0
2012-04-01,4.0,10.0,4.0,9.0,2.0,5.0,0.0
2012-04-08,7.0,2.0,2.0,4.0,3.0,4.0,0.0
2012-04-15,3.0,4.0,7.0,2.0,2.0,4.0,2.0
2012-04-22,1.0,6.0,6.0,3.0,11.0,1.0,10.0
2012-04-29,0.0,7.0,5.0,2.0,9.0,3.0,4.0
2012-05-06,6.0,60.0,8.0,0.0,4.0,4.0,4.0
2012-05-13,4.0,21.0,2.0,5.0,8.0,3.0,0.0
2012-05-20,12.0,11.0,10.0,0.0,7.0,1.0,0.0
2012-05-27,15.0,19.0,6.0,2.0,3.0,0.0,0.0
2012-06-03,0.0,82.0,2.0,1.0,0.0,1.0,2.0
2012-06-10,0.0,34.0,16.0,1.0,1.0,1.0,0.0
2012-06-17,6.0,36.0,4.0,2.0,16.0,6.0,1.0
2012-06-24,2.0,13.0,10.0,1.0,0.0,1.0,2.0
2012-07-01,3.0,27.0,16.0,1.0,1.0,5.0,6.0
2012-07-08,6.0,6.0,6.0,1.0,0.0,1.0,1.0
2012-07-15,4.0,11.0,2.0,6.0,4.0,2.0,2.0
2012-07-22,1.0,12.0,3.0,1.0,0.0,7.0,0.0
2012-07-29,6.0,2.0,0.0,0.0,3.0,4.0,6.0
2012-08-05,4.0,5.0,0.0,8.0,0.0,15.0,3.0
2012-08-12,2.0,3.0,1.0,0.0,1.0,13.0,0.0
2012-08-19,4.0,3.0,2.0,1.0,2.0,14.0,0.0
2012-08-26,1.0,7.0,21.0,2.0,1.0,3.0,2.0
2012-09-02,10.0,9.0,1.0,2.0,1.0,13.0,2.0
2012-09-09,21.0,5.0,18.0,5.0,15.0,4.0,2.0
2012-09-16,19.0,22.0,1.0,1.0,2.0,2.0,3.0
2012-09-23,2.0,9.0,6.0,8.0,3.0,5.0,1.0
2012-09-30,3.0,13.0,11.0,4.0,0.0,8.0,1.0
2012-10-07,3.0,11.0,3.0,11.0,8.0,2.0,1.0
2012-10-14,4.0,1.0,6.0,3.0,2.0,18.0,0.0
2012-10-21,4.0,9.0,10.0,4.0,9.0,5.0,0.0
2012-10-28,5.0,6.0,0.0,16.0,4.0,7.0,1.0
2012-11-04,16.0,9.0,3.0,1.0,4.0,3.0,2.0
2012-11-11,3.0,0.0,6.0,4.0,10.0,2.0,1.0
2012-11-18,0.0,8.0,0.0,6.0,0.0,3.0,5.0
