date,Baghdad,Cairo,Tripoli,Amman,Manama,Damascus,Riyadh
2013-09-22,0.0,26.0,2.0,1.0,2.0,4.0,0.0
2013-09-29,1.0,41.0,1.0,1.0,22.0,4.0,0.0
2013-10-06,1.0,132.0,9.0,6.0,1.0,4.0,0.0
2013-10-13,1.0,71.0,2.0,1.0,10.0,2.0,0.0
2013-10-20,0.0,33.0,0.0,5.0,3.0,3.0,0.0
2013-10-27,1.0,18.0,0.0,2.0,9.0,5.0,1.0
2013-11-03,0.0,65.0,0.0,1.0,8.0,1.0,0.0
2013-11-10,1.0,55.0,5.0,3.0,0.0,0.0,1.0
2013-11-17,0.0,49.0,47.0,1.0,2.0,10.0,0.0
2013-11-24,1.0,124.0,41.0,1.0,12.0,2.0,2.0
2013-12-01,1.0,143.0,6.0,3.0,0.0,3.0,0.0
2013-12-08,2.0,88.0,4.0,0.0,1.0,1.0,0.0
2013-12-15,0.0,70.0,1.0,0.0,4.0,1.0,0.0
2013-12-22,0.0,58.0,18.0,0.0,0.0,0.0,0.0
2013-12-29,1.0,55.0,14.0,0.0,3.0,0.0,0.0
2014-01-05,1.0,48.0,6.0,0.0,0.0,0.0,0.0
2014-01-12,0.0,26.0,4.0,0.0,3.0,5.0,0.0
2014-01-19,1.0,59.0,4.0,0.0,6.0,0.0,0.0
2014-01-26,0.0,116.0,1.0,2.0,7.0,0.0,1.0
2014-02-02,7.0,39.0,0.0,3.0,5.0,1.0,0.0
2014-02-09,0.0,14.0,5.0,0.0,0.0,1.0,0.0
2014-02-16,4.0,14.0,2.0,4.0,38.0,4.0,1.0
2014-02-23,8.0,13.0,8.0,4.0,2.0,5.0,0.0
2014-03-02,0.0,26.0,15.0,0.0,6.0,9.0,0.0
2014-03-09,4.0,31.0,31.0,2.0,6.0,0.0,0.0
2014-03-16,1.0,9.0,3.0,14.0,0.0,0.0,1.0
2014-03-23,4.0,41.0,1.0,0.0,7.0,2.0,2.0
2014-03-30,0.0,59.0,10.0,0.0,2.0,0.0,0.0
2014-04-06,0.0,21.0,3.0,0.0,5.0,6.0,0.0
2014-04-13,0.0,24.0,7.0,0.0,1.0,0.0,0.0
2014-04-20,0.0,9.0,2.0,4.0,3.0,7.0,2.0
2014-04-27,4.0,38.0,2.0,0.0,2.0,4.0,0.0
2014-05-04,0.0,17.0,10.0,2.0,1.0,6.0,0.0
2014-05-11,1.0,17.0,0.0,5.0,0.0,1.0,0.0
2014-05-18,0.0,20.0,4.0,0.0,0.0,2.0,0.0
2014-05-25,0.0,30.0,16.0,0.0,3.0,4.0,1.0
2014-06-01,0.0,30.0,21.0,6.0,1.0,1.0,2.0
2014-06-08,0.0,22.0,6.0,0.0,1.0,13.0,0.0
2014-06-15,4.0,29.0,4.0,0.0,0.0,0.0,0.0
2014-06-22,3.0,14.0,1.0,0.0,0.0,0.0,0.0
2014-06-29,0.0,8.0,3.0,2.0,2.0,0.0,0.0
2014-07-06,2.0,32.0,1.0,1.0,0.0,2.0,0.0
2014-07-13,0.0,6.0,0.0,5.0,0.0,0.0,0.0
2014-07-20,0.0,3.0,2.0,2.0,0.0,0.0,0.0
2014-07-27,0.0,0.0,0.0,2.0,0.0,1.0,0.0
2014-08-03,0.0,1.0,3.0,2.0,0.0,0.0,0.0
2014-08-10,0.0,4.0,2.0,0.0,0.0,0.0,0.0
2014-08-17,0.0,34.0,1.0,0.0,0.0,0.0,0.0
2014-08-24,1.0,2.0,3.0,0.0,0.0,0.0,0.0
2014-08-31,0.0,3.0,1.0,0.0,0.0,3.0,0.0
2014-09-07,5.0,1.0,1.0,0.0,0.0,0.0,2.0
2014-09-14,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-09-21,2.0,9.0,0.0,0.0,0.0,2.0,0.0
2014-09-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2014-10-05,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2014-10-12,0.0,3.0,0.0,1.0,0.0,0.0,0.0
2014-10-19,0.0,3.0,0.0,1.0,0.0,0.0,0.0
2014-10-26,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2014-11-02,0.0,10.0,0.0,1.0,1.0,0.0,0.0
