date,Iraq,Baghdad,Egypt,Cairo,Libya,Tripoli,Jordan,Amman,Bahrain,Manama,Syria,Damascus,Saudi Arabia,Riyadh
2012-12-09,1.0,0.0,318.0,214.0,2.0,2.0,3.0,2.0,10.0,5.0,21.0,3.0,0.0,0.0
2012-12-16,6.0,1.0,122.0,67.0,4.0,3.0,2.0,2.0,12.0,11.0,14.0,6.0,1.0,1.0
2012-12-23,20.0,3.0,75.0,38.0,16.0,5.0,5.0,3.0,19.0,18.0,9.0,2.0,2.0,1.0
2012-12-30,59.0,10.0,19.0,1.0,14.0,0.0,5.0,5.0,3.0,1.0,5.0,0.0,9.0,4.0
2013-01-06,69.0,16.0,14.0,7.0,10.0,4.0,6.0,3.0,8.0,4.0,8.0,2.0,0.0,0.0
2013-01-13,61.0,32.0,17.0,13.0,5.0,3.0,10.0,5.0,4.0,3.0,4.0,0.0,2.0,0.0
2013-01-20,30.0,9.0,47.0,22.0,1.0,0.0,22.0,19.0,7.0,6.0,5.0,2.0,6.0,2.0
2013-01-27,87.0,32.0,304.0,134.0,1.0,0.0,47.0,20.0,18.0,15.0,12.0,6.0,0.0,0.0
2013-02-03,31.0,4.0,327.0,163.0,2.0,2.0,14.0,0.0,7.0,4.0,18.0,6.0,1.0,1.0
2013-02-10,29.0,8.0,148.0,79.0,0.0,0.0,10.0,5.0,8.0,6.0,9.0,4.0,3.0,0.0
2013-02-17,19.0,11.0,155.0,88.0,6.0,1.0,5.0,3.0,54.0,34.0,7.0,4.0,4.0,1.0
2013-02-24,10.0,8.0,122.0,52.0,3.0,2.0,25.0,17.0,18.0,11.0,7.0,4.0,1.0,0.0
2013-03-03,17.0,3.0,157.0,44.0,5.0,4.0,7.0,1.0,14.0,7.0,9.0,4.0,9.0,1.0
2013-03-10,47.0,14.0,163.0,42.0,25.0,14.0,2.0,2.0,3.0,1.0,6.0,0.0,5.0,1.0
2013-03-17,15.0,3.0,86.0,48.0,8.0,4.0,8.0,4.0,14.0,8.0,11.0,2.0,2.0,0.0
