date,Iraq,Egypt,Libya,Jordan,Bahrain,Syria,Saudi Arabia
2014-04-06,4.0,56.0,7.0,2.0,8.0,15.0,0.0
2014-04-13,7.0,45.0,23.0,5.0,1.0,2.0,1.0
2014-04-20,6.0,41.0,2.0,7.0,5.0,13.0,3.0
2014-04-27,11.0,72.0,5.0,7.0,2.0,6.0,0.0
2014-05-04,12.0,34.0,18.0,2.0,2.0,15.0,2.0
2014-05-11,5.0,36.0,7.0,6.0,3.0,11.0,1.0
2014-05-18,11.0,32.0,5.0,0.0,0.0,5.0,1.0
2014-05-25,1.0,68.0,49.0,0.0,3.0,16.0,2.0
2014-06-01,1.0,82.0,26.0,9.0,1.0,14.0,5.0
2014-06-08,7.0,46.0,16.0,2.0,4.0,24.0,0.0
2014-06-15,21.0,35.0,7.0,0.0,0.0,1.0,4.0
2014-06-22,8.0,28.0,1.0,3.0,2.0,2.0,0.0
2014-06-29,10.0,20.0,7.0,8.0,2.0,0.0,2.0
2014-07-06,9.0,52.0,1.0,2.0,0.0,2.0,4.0
2014-07-13,2.0,6.0,0.0,5.0,0.0,0.0,3.0
2014-07-20,1.0,3.0,2.0,2.0,0.0,2.0,0.0
2014-07-27,3.0,1.0,0.0,2.0,0.0,2.0,0.0
2014-08-03,0.0,3.0,8.0,4.0,0.0,1.0,0.0
2014-08-10,3.0,7.0,3.0,0.0,0.0,0.0,0.0
2014-08-17,0.0,54.0,1.0,0.0,0.0,0.0,0.0
2014-08-24,3.0,3.0,4.0,0.0,3.0,0.0,0.0
2014-08-31,0.0,4.0,2.0,0.0,0.0,6.0,0.0
2014-09-07,8.0,3.0,1.0,1.0,0.0,1.0,2.0
2014-09-14,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-09-21,5.0,10.0,0.0,0.0,0.0,2.0,0.0
2014-09-28,3.0,1.0,0.0,0.0,1.0,1.0,1.0
2014-10-05,3.0,3.0,0.0,1.0,0.0,12.0,2.0
2014-10-12,2.0,18.0,1.0,1.0,0.0,3.0,0.0
2014-10-19,1.0,16.0,0.0,1.0,0.0,2.0,0.0
2014-10-26,1.0,6.0,1.0,1.0,0.0,0.0,0.0
2014-11-02,2.0,18.0,5.0,1.0,2.0,7.0,1.0
2014-11-09,4.0,24.0,8.0,4.0,4.0,1.0,2.0
2014-11-16,0.0,12.0,9.0,2.0,0.0,0.0,1.0
2014-11-23,1.0,32.0,1.0,1.0,21.0,4.0,0.0
2014-11-30,2.0,179.0,2.0,2.0,6.0,1.0,3.0
2014-12-07,1.0,35.0,4.0,6.0,6.0,5.0,0.0
2014-12-14,0.0,14.0,3.0,3.0,9.0,4.0,1.0
2014-12-21,5.0,6.0,0.0,1.0,2.0,1.0,0.0
2014-12-28,0.0,4.0,1.0,6.0,8.0,3.0,0.0
2015-01-04,3.0,8.0,6.0,2.0,42.0,12.0,0.0
2015-01-11,3.0,3.0,1.0,0.0,22.0,1.0,0.0
2015-01-18,9.0,10.0,1.0,6.0,10.0,2.0,1.0
2015-01-25,3.0,85.0,1.0,1.0,8.0,2.0,5.0
2015-02-01,1.0,88.0,3.0,10.0,2.0,1.0,2.0
2015-02-08,5.0,34.0,1.0,31.0,4.0,1.0,0.0
2015-02-15,10.0,18.0,5.0,3.0,25.0,3.0,0.0
2015-02-22,2.0,12.0,3.0,1.0,6.0,8.0,0.0
2015-03-01,11.0,17.0,11.0,2.0,7.0,2.0,0.0
2015-03-08,4.0,13.0,8.0,4.0,1.0,3.0,0.0
2015-03-15,7.0,2.0,1.0,4.0,4.0,7.0,0.0
2015-03-22,5.0,14.0,4.0,3.0,2.0,2.0,0.0
