date,Iraq,Egypt,Libya,Jordan,Bahrain,Syria,Saudi Arabia
2012-01-01,0.0,9.0,1.0,1.0,10.0,5.0,0.0
2012-01-08,16.0,43.0,2.0,10.0,26.0,42.0,0.0
2012-01-15,24.0,34.0,0.0,23.0,14.0,38.0,18.0
2012-01-22,23.0,38.0,67.0,17.0,16.0,26.0,2.0
2012-01-29,7.0,166.0,22.0,15.0,22.0,33.0,3.0
2012-02-05,10.0,278.0,14.0,14.0,23.0,52.0,2.0
2012-02-12,9.0,143.0,17.0,31.0,26.0,31.0,12.0
2012-02-19,4.0,43.0,4.0,21.0,71.0,66.0,3.0
2012-02-26,15.0,18.0,4.0,11.0,6.0,46.0,3.0
2012-03-04,6.0,12.0,2.0,6.0,3.0,50.0,3.0
2012-03-11,6.0,30.0,10.0,27.0,19.0,25.0,6.0
2012-03-18,8.0,38.0,12.0,22.0,12.0,70.0,8.0
2012-03-25,5.0,25.0,3.0,22.0,20.0,64.0,2.0
2012-04-01,1.0,28.0,5.0,14.0,16.0,32.0,4.0
2012-04-08,1.0,50.0,4.0,37.0,30.0,23.0,3.0
2012-04-15,2.0,39.0,1.0,17.0,10.0,48.0,5.0
2012-04-22,0.0,60.0,1.0,18.0,61.0,40.0,0.0
2012-04-29,3.0,66.0,13.0,17.0,42.0,39.0,1.0
2012-05-06,1.0,204.0,4.0,8.0,19.0,68.0,14.0
2012-05-13,20.0,41.0,19.0,19.0,13.0,46.0,1.0
2012-05-20,4.0,24.0,7.0,13.0,24.0,35.0,6.0
2012-05-27,2.0,19.0,3.0,8.0,12.0,50.0,1.0
2012-06-03,11.0,195.0,1.0,12.0,9.0,24.0,1.0
2012-06-10,5.0,146.0,12.0,15.0,4.0,34.0,0.0
2012-06-17,14.0,48.0,6.0,26.0,6.0,28.0,2.0
2012-06-24,6.0,164.0,8.0,7.0,11.0,30.0,0.0
2012-07-01,4.0,56.0,16.0,18.0,5.0,9.0,1.0
2012-07-08,2.0,33.0,30.0,22.0,1.0,19.0,6.0
2012-07-15,9.0,45.0,4.0,24.0,5.0,21.0,38.0
2012-07-22,3.0,30.0,0.0,12.0,12.0,45.0,6.0
2012-07-29,3.0,13.0,0.0,6.0,5.0,23.0,25.0
2012-08-05,1.0,15.0,0.0,8.0,5.0,27.0,15.0
2012-08-12,0.0,23.0,0.0,3.0,6.0,11.0,12.0
2012-08-19,4.0,16.0,0.0,12.0,11.0,18.0,0.0
2012-08-26,2.0,65.0,0.0,11.0,6.0,27.0,0.0
2012-09-02,3.0,23.0,2.0,18.0,6.0,24.0,4.0
2012-09-09,2.0,30.0,4.0,19.0,28.0,5.0,1.0
2012-09-16,11.0,142.0,87.0,15.0,4.0,10.0,7.0
2012-09-23,3.0,30.0,84.0,17.0,16.0,9.0,8.0
2012-09-30,3.0,12.0,37.0,18.0,23.0,18.0,22.0
2012-10-07,3.0,16.0,26.0,40.0,31.0,21.0,3.0
2012-10-14,1.0,83.0,3.0,22.0,28.0,3.0,8.0
2012-10-21,3.0,38.0,24.0,19.0,15.0,6.0,1.0
2012-10-28,2.0,10.0,12.0,5.0,15.0,19.0,5.0
2012-11-04,7.0,13.0,53.0,7.0,24.0,17.0,1.0
2012-11-11,9.0,29.0,8.0,9.0,14.0,13.0,0.0
2012-11-18,3.0,37.0,0.0,107.0,3.0,12.0,3.0
2012-11-25,5.0,248.0,0.0,21.0,3.0,12.0,3.0
2012-12-02,5.0,346.0,4.0,15.0,9.0,11.0,5.0
2012-12-09,1.0,318.0,2.0,3.0,10.0,21.0,0.0
2012-12-16,6.0,122.0,4.0,2.0,12.0,14.0,1.0
2012-12-23,20.0,75.0,16.0,5.0,19.0,9.0,2.0
2012-12-30,59.0,19.0,14.0,5.0,3.0,5.0,9.0
2013-01-06,69.0,14.0,10.0,6.0,8.0,8.0,0.0
2013-01-13,61.0,17.0,5.0,10.0,4.0,4.0,2.0
2013-01-20,30.0,47.0,1.0,22.0,7.0,5.0,6.0
2013-01-27,87.0,304.0,1.0,47.0,18.0,12.0,0.0
2013-02-03,31.0,327.0,2.0,14.0,7.0,18.0,1.0
2013-02-10,29.0,148.0,0.0,10.0,8.0,9.0,3.0
2013-02-17,19.0,155.0,6.0,5.0,54.0,7.0,4.0
2013-02-24,10.0,122.0,3.0,25.0,18.0,7.0,1.0
2013-03-03,17.0,157.0,5.0,7.0,14.0,9.0,9.0
2013-03-10,47.0,163.0,25.0,2.0,3.0,6.0,5.0
2013-03-17,15.0,86.0,8.0,8.0,14.0,11.0,2.0
2013-03-24,10.0,101.0,6.0,14.0,9.0,2.0,3.0
2013-03-31,13.0,117.0,8.0,5.0,8.0,4.0,1.0
2013-04-07,17.0,95.0,9.0,4.0,8.0,4.0,3.0
2013-04-14,11.0,69.0,6.0,10.0,10.0,14.0,6.0
2013-04-21,5.0,99.0,9.0,13.0,41.0,8.0,0.0
2013-04-28,107.0,70.0,12.0,8.0,9.0,15.0,3.0
2013-05-05,23.0,50.0,29.0,12.0,10.0,21.0,5.0
2013-05-12,5.0,13.0,17.0,5.0,6.0,21.0,0.0
2013-05-19,8.0,36.0,8.0,7.0,7.0,7.0,9.0
2013-05-26,14.0,32.0,3.0,22.0,15.0,9.0,1.0
2013-06-02,10.0,26.0,1.0,7.0,4.0,12.0,1.0
2013-06-09,3.0,40.0,43.0,5.0,5.0,15.0,1.0
2013-06-16,4.0,40.0,47.0,17.0,4.0,17.0,9.0
2013-06-23,4.0,94.0,6.0,13.0,0.0,14.0,5.0
2013-06-30,24.0,235.0,0.0,11.0,4.0,20.0,8.0
2013-07-07,10.0,566.0,12.0,11.0,4.0,10.0,0.0
2013-07-14,7.0,326.0,9.0,4.0,3.0,27.0,6.0
2013-07-21,10.0,242.0,2.0,9.0,15.0,11.0,2.0
2013-07-28,10.0,301.0,30.0,21.0,6.0,19.0,6.0
2013-08-04,3.0,240.0,10.0,10.0,2.0,14.0,1.0
2013-08-11,6.0,149.0,5.0,4.0,4.0,19.0,0.0
2013-08-18,3.0,447.0,11.0,12.0,28.0,11.0,1.0
2013-08-25,1.0,177.0,1.0,10.0,20.0,33.0,0.0
2013-09-01,31.0,142.0,2.0,3.0,11.0,17.0,0.0
2013-09-08,9.0,102.0,7.0,2.0,9.0,17.0,7.0
2013-09-15,5.0,49.0,7.0,3.0,2.0,7.0,5.0
2013-09-22,4.0,71.0,5.0,2.0,4.0,7.0,1.0
2013-09-29,8.0,76.0,1.0,5.0,28.0,11.0,2.0
2013-10-06,8.0,186.0,10.0,9.0,2.0,9.0,0.0
2013-10-13,3.0,112.0,6.0,6.0,16.0,8.0,2.0
2013-10-20,0.0,78.0,3.0,6.0,8.0,14.0,1.0
2013-10-27,3.0,62.0,10.0,8.0,21.0,12.0,7.0
2013-11-03,4.0,144.0,7.0,5.0,12.0,5.0,0.0
2013-11-10,4.0,111.0,9.0,6.0,2.0,5.0,1.0
2013-11-17,0.0,115.0,64.0,5.0,4.0,16.0,8.0
2013-11-24,1.0,203.0,47.0,3.0,16.0,5.0,2.0
2013-12-01,2.0,253.0,23.0,3.0,3.0,5.0,0.0
2013-12-08,8.0,193.0,19.0,2.0,6.0,6.0,1.0
2013-12-15,19.0,149.0,5.0,0.0,4.0,9.0,0.0
2013-12-22,8.0,112.0,21.0,4.0,0.0,7.0,0.0
2013-12-29,7.0,136.0,18.0,1.0,9.0,3.0,0.0
2014-01-05,30.0,129.0,10.0,1.0,1.0,5.0,0.0
2014-01-12,15.0,74.0,5.0,3.0,6.0,12.0,0.0
2014-01-19,5.0,153.0,13.0,0.0,8.0,2.0,0.0
2014-01-26,1.0,164.0,1.0,3.0,15.0,4.0,1.0
2014-02-02,13.0,56.0,2.0,4.0,11.0,3.0,0.0
2014-02-09,11.0,48.0,12.0,3.0,2.0,5.0,0.0
2014-02-16,12.0,37.0,12.0,7.0,48.0,9.0,1.0
2014-02-23,17.0,32.0,13.0,4.0,9.0,16.0,3.0
2014-03-02,3.0,51.0,46.0,1.0,13.0,11.0,0.0
2014-03-09,19.0,47.0,46.0,3.0,8.0,6.0,0.0
2014-03-16,13.0,27.0,10.0,14.0,1.0,9.0,2.0
2014-03-23,8.0,104.0,6.0,0.0,13.0,9.0,2.0
2014-03-30,8.0,117.0,12.0,0.0,4.0,4.0,0.0
